IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location
140358400,FRAUD,DEFRAUDING AN INNKEEPER,Wednesday,04/30/2014,18:20,TENDERLOIN,"ARREST, BOOKED",0 Block of MCALLISTER ST,-122.41365681775,37.7809627138986,"(37.7809627138986, -122.41365681775)"
140356482,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Wednesday,04/30/2014,01:29,TENDERLOIN,NONE,300 Block of EDDY ST,-122.414222123471,37.7836927561358,"(37.7836927561358, -122.414222123471)"
140356498,VEHICLE THEFT,STOLEN TRUCK,Wednesday,04/30/2014,01:40,NORTHERN,NONE,900 Block of POLK ST,-122.419779955748,37.7858801016069,"(37.7858801016069, -122.419779955748)"
140356517,ASSAULT,INFLICT INJURY ON COHABITEE,Wednesday,04/30/2014,00:30,CENTRAL,NONE,700 Block of PACIFIC AV,-122.406996764002,37.7968485703073,"(37.7968485703073, -122.406996764002)"
140357866,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Wednesday,04/30/2014,15:35,SOUTHERN,PSYCHOPATHIC CASE,4TH ST / KING ST,-122.394102624525,37.7763827130285,"(37.7763827130285, -122.394102624525)"
140358400,WARRANTS,WARRANT ARREST,Wednesday,04/30/2014,18:20,TENDERLOIN,"ARREST, BOOKED",0 Block of MCALLISTER ST,-122.41365681775,37.7809627138986,"(37.7809627138986, -122.41365681775)"
140358416,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,04/30/2014,08:00,BAYVIEW,NONE,BRUSSELS ST / DWIGHT ST,-122.404067591181,37.7235253009012,"(37.7235253009012, -122.404067591181)"
140357935,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,04/30/2014,15:00,CENTRAL,NONE,HYDE ST / LOMBARD ST,-122.419616109671,37.8019942438049,"(37.8019942438049, -122.419616109671)"
140358494,NON-CRIMINAL,TARASOFF REPORT,Wednesday,04/30/2014,15:30,MISSION,NONE,900 Block of POTRERO AV,-122.406662657485,37.7568815847062,"(37.7568815847062, -122.406662657485)"
140358507,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Wednesday,04/30/2014,18:43,MISSION,PSYCHOPATHIC CASE,POTRERO AV / CESAR CHAVEZ ST,-122.405096871916,37.7491100050973,"(37.7491100050973, -122.405096871916)"
140357963,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,04/30/2014,16:17,BAYVIEW,"ARREST, CITED",MENDELL ST / JERROLD AV,-122.387531297992,37.7377320233961,"(37.7377320233961, -122.387531297992)"
140357979,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,04/30/2014,12:45,TARAVAL,NONE,3900 Block of ALEMANY BL,-122.468198751296,37.7110051580186,"(37.7110051580186, -122.468198751296)"
140358513,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Wednesday,04/30/2014,17:00,CENTRAL,UNFOUNDED,1200 Block of GRANT AV,-122.407058499788,37.7982298576175,"(37.7982298576175, -122.407058499788)"
